Timestep,Hydro|Reservoir_FR_0,Hydro|Reservoir_ES_0,Hydro|Pumped Storage_ES_0,Hydro|Pumped Storage_FR_0,Battery|Lithium-Ion_FR_0,Battery|Lithium-Ion_PT_0
276,2.461516683615251e6,4.039075372987303e6,0.0,0.0,0.0,0.0
277,2.464301183615251e6,4.036468563744986e6,0.0,0.0,0.0,0.0
278,2.467085683615251e6,4.033861754502669e6,0.0,0.0,0.0,0.0
279,2.466748236829576e6,4.0300985490066926e6,0.0,0.0,0.0,0.0
280,2.4664107900439017e6,4.026335343510716e6,0.0,0.0,0.0,0.0
281,2.464102450043902e6,4.0247379782903604e6,0.0,0.0,0.0,0.0
282,2.4617941100439015e6,4.0231406130700046e6,0.0,0.0,0.0,0.0
283,2.458303445597588e6,4.022884419483249e6,0.0,0.0,0.0,0.0
284,2.454812781151274e6,4.022628225896494e6,0.0,0.0,0.0,0.0
285,2.4562817733184015e6,4.0198025384356556e6,0.0,0.0,0.0,0.0
286,2.457750765485529e6,4.0169768509748178e6,0.0,0.0,0.0,0.0
287,2.459507765485529e6,4.0114905220531477e6,0.0,0.0,0.0,0.0
288,2.461264765485529e6,4.006004193131477e6,0.0,0.0,0.0,0.0
289,2.461977265485529e6,4.00010925019846e6,0.0,0.0,0.0,0.0
290,2.462689765485529e6,3.9942143072654433e6,0.0,0.0,0.0,0.0
291,2.463275265485529e6,3.9879919770820606e6,0.0,0.0,0.0,0.0
292,2.463860765485529e6,3.9817696468986776e6,0.0,0.0,0.0,0.0
293,2.465175265485529e6,3.975603741411854e6,0.0,0.0,0.0,0.0
294,2.466489765485529e6,3.9694378359250305e6,0.0,0.0,0.0,0.0
295,2.470385829691723e6,3.9649026661739303e6,0.0,0.0,0.0,0.0
296,2.4742818938979167e6,3.96036749642283e6,0.0,0.0,0.0,0.0
297,2.47895350406571e6,3.9574494212720213e6,0.0,0.0,0.0,0.0
298,2.483625114233503e6,3.9545313461212125e6,0.0,0.0,0.0,0.0
299,2.488996614233503e6,3.9502758196464665e6,0.0,0.0,0.0,0.0
300,2.494368114233503e6,3.9460202931717206e6,0.0,0.0,0.0,0.0
301,2.497975614233503e6,3.9409121957324804e6,0.0,0.0,0.0,0.0
302,2.501583114233503e6,3.93580409829324e6,0.0,0.0,0.0,0.0
303,2.504119114233503e6,3.930560829602902e6,0.0,0.0,0.0,0.0
304,2.506655114233503e6,3.925317560912564e6,0.0,0.0,0.0,0.0
305,2.505841845234148e6,3.9218538403444793e6,0.0,0.0,0.0,0.0
306,2.5050285762347933e6,3.918390119776394e6,0.0,0.0,0.0,0.0
307,2.5026073932576124e6,3.916662543717825e6,0.0,0.0,0.0,0.0
308,2.5001862102804314e6,3.914934967659255e6,0.0,0.0,0.0,0.0
309,2.4973413842803957e6,3.911062013028213e6,0.0,0.0,0.0,0.0
310,2.49449655828036e6,3.9071890583971706e6,0.0,0.0,0.0,0.0
311,2.490455750453729e6,3.901943929552001e6,0.0,0.0,0.0,0.0
312,2.486414942627099e6,3.896698800706831e6,0.0,0.0,0.0,0.0
313,2.487552442627099e6,3.890645744613126e6,0.0,0.0,0.0,0.0
314,2.488689942627099e6,3.884592688519421e6,0.0,0.0,0.0,0.0
315,2.489534942627099e6,3.8783796591101964e6,0.0,0.0,0.0,0.0
316,2.490379942627099e6,3.872166629700972e6,0.0,0.0,0.0,0.0
317,2.4856270679563414e6,3.8661811592328157e6,0.0,0.0,0.0,0.0
318,2.4808741932855835e6,3.8601956887646597e6,0.0,0.0,0.0,0.0
319,2.4773583532855837e6,3.855480083994892e6,0.0,0.0,0.0,0.0
320,2.4738425132855834e6,3.850764479225124e6,0.0,0.0,0.0,0.0
