Timestep,Import_FR_MW,Import_PT_MW
780,-2800.0,-4128.7126816495
781,-2800.0,-4128.7126816495
782,-2800.0,-4200.0
783,-2800.0,-4200.0
784,-2800.0,-2083.7756861404996
785,-2800.0,-2083.7756861404996
786,-2800.0,-1436.8389442030002
787,-2800.0,-1436.8389442030002
788,-2800.0,-2090.8448139699994
789,-2800.0,-2090.8448139699994
790,-2800.0,694.7361055916335
791,-2800.0,694.7361055916335
792,-2800.0,-2537.1598144285
793,-2800.0,-2537.1598144285
794,-2800.0,-2269.8789562267502
795,-2800.0,-2269.8789562267502
796,-2800.0,-2066.84925542
797,-2800.0,-2066.84925542
798,-2800.0,-2552.130280626
799,-2800.0,-2552.130280626
800,-2800.0,-3310.10051183775
801,-2800.0,-3310.10051183775
802,-2800.0,-3247.042157163829
803,-2800.0,-3247.042157163829
804,-2800.0,-4200.0
805,-2800.0,-4200.0
806,-2800.0,-4200.0
807,-2800.0,-4200.0
808,-2800.0,-4200.0
809,-2800.0,-4200.0
810,-2800.0,-3001.8711822080004
811,-2800.0,-3001.8711822080004
812,-2800.0,-3204.6981871065
813,-2800.0,-3204.6981871065
814,-2800.0,175.33147055624977
815,-2800.0,175.33147055624977
816,-2800.0,-2324.125889758883
817,-2800.0,-2324.125889758883
818,-2800.0,-3207.96759107125
819,-2800.0,-3207.96759107125
820,-2800.0,-1542.17331457725
821,-2800.0,-1542.17331457725
822,-2800.0,-3225.6110383562504
823,-2800.0,-3225.6110383562504
824,-2800.0,-2758.1535781442653
825,-2800.0,-2758.1535781442653
826,-2800.0,-3782.9712527359998
827,-2800.0,-3782.9712527359998
828,-2800.0,-4200.0
829,-2800.0,-4200.0
830,-2800.0,-4082.781465538749
831,-2800.0,-4082.781465538749
832,-2800.0,-4200.0
833,-2800.0,-4200.0
834,-2800.0,-918.1863672617546
